lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype
,,koiravaljakko,koiravaljakko_ENG,beanaráidu,hundespann,hundspann,hundespann_DEU,N,SPORT
,,koitto,koitto_ENG,guovssu,gry,gryning,gry_DEU,N,WEATHER
,,koitua,koitua_ENG,gártat,komme til å,komme til å_SWE,komme til å_DEU,V,AUX_V
,,kokeilla,investigate,iskkadit,undersøke,undersøke_SWE,undersøke_DEU,V,ACTION_V
,,kokonaan,kokonaan_ENG,ollislaččat,fullstendig,fullständig,fullstendig_DEU,Adv,DIV_ADV
,,kokonaiskuva,kokonaiskuva_ENG,oppalaš govva,oversikt,oversikt_SWE,oversikt_DEU,Mwe,EXPRESSIONS
,,kokoon,kokoon_ENG,čoahkkái,samlet,samlad,samlet_DEU,Adv,DIV_ADV
,,kokoontua,gather,čoagganit,samles,samlas,sich sammeln,V,ACTION_V
,,kollega,collegue,bargoskihpár,kollega,kollega,kollega_DEU,N,OTHERS
,,kolmas,third,goalmmát,tredje,tredje,dritter,A,CHRISTMAS
,,kolmastoista,thirteenth,golbmanuppelogát,trettende,trettonde,dreizehnter,A,mORD
,,kolme henkilöä,three persons,golmmas,tre personer,tre personer,drei personen,N,mCOLL
,,kolmonen,kolmonen_ENG,golmmeš,treer,trea,treer_DEU,N,LANGUAGEPART
,,koltansaamelainen,Skolt Sami,nuortalaš,østsame,østsame_SWE,østsame_DEU,N,OTHERS
,,koltansaamenkieli,Skolt Sami,nuortalašgiella,østsamisk samisk,østsamisk samisk_SWE,østsamisk samisk_DEU,N,LANGUAGE
,,komsio,komsio_ENG,gietkka,komse,komse,komse_DEU,N,THING
,,konkata,hop,čiŋkut,hinke,hoppa på ett ben,auf einem Bein hüpfen,V,BODY_V
,,kopeloida,kopeloida_ENG,skurbat,pirke,pirke_SWE,pirke_DEU,V,YYY
,,koppakuoriainen,beetle,goppás,bille,bille_SWE,bille_DEU,N,BIRD
,,koristautua,koristautua_ENG,čiŋadit,pynte seg,pynta sig,pynte seg_DEU,V,CHRISTMAS
,,koriste,koriste_ENG,čikŋa,pynt,pynt,pynt_DEU,N,THING
,,korjaamo,korjaamo_ENG,divohat,verksted,verkstad,verksted_DEU,N,CITY
,,korjauttaa,have something repaired,divuhit,få reparert,låta laga,repariert bekommen,V,WORK_ECONOMY_V
,,korkeushyppy,korkeushyppy_ENG,allodatnjuiken,høydehopp,høydehopp_SWE,høydehopp_DEU,N,SPORT
,,korte,korte_ENG,cubborássi,engsnelle,engsnelle_SWE,engsnelle_DEU,N,PLANT
,,kortti,card,koarta,kort,kort,kort_DEU,N,THING
,,kosinta,kosinta_ENG,soagŋu,frierferd,friarfärd,frierferd_DEU,N,ARRANGEMENT
,,koska,koska_ENG,danne go,fordi,fordi_SWE,fordi_DEU,Mwe,EXPRESSIONS
,,koska,koska_ENG,goas,når,når_SWE,når_DEU,Adv,TIME_ADV
,,kota,kota_ENG,darfegoahti,torvgamme,torvkåta,torvgamme_DEU,N,BUILDING
,,kota,kota_ENG,goahti,gamme,kåta,gamme_DEU,N,BUILDING
,,kota,kota_ENG,lavdnjegoahti,torvgamme,torvkåta,torvgamme_DEU,N,BUILDING
,,kotiapulainen,maid,ruovttuveahkki,hjemmehjelp,hembiträde,hjemmehjelp_DEU,N,PROFESSION
,,kotiin,kotiin_ENG,ruoktot,hjem,hem,hjem_DEU,Adv,CHRISTMAS
,,kotitalous,kotitalous_ENG,ruovttudoallu,heimkunnskap,hemkunskap,heimkunnskap_DEU,N,SCHOOL
,,kotona,at home,ruovttus,hjemme,hemma,hjemme_DEU,Adv,CHRISTMAS
,,kouluaine,school subject,skuvlafága,skolefag,skolämne,skolefag_DEU,N,SCHOOL
,,koulukaveri,schoolmate,skuvlaskibir,skolekamerat,skolekamerat_SWE,skolekamerat_DEU,N,OTHERS
,,koulukirja,school book,skuvlagirji,skolebok,skolbok,skolebok_DEU,N,TEXT
,,koululapsi,schoolchild,skuvlamánná,skolebarn,skolbarn,skolebarn_DEU,N,OTHERS
,,koulupiha,schoolyard,skuvlašillju,skolegård,skolgård,skolegård_DEU,N,SCHOOL
,,koulupäivä,koulupäivä_ENG,skuvlabeaivi,skoledag,skoldag,skoledag_DEU,N,SCHOOL
,,koulutunti,koulutunti_ENG,skuvladiibmu,skoletime,skoltimme,skoletime_DEU,N,SCHOOL
,,koulutunti,koulutunti_ENG,skuvlatiibma,skoletime,skoltimme,skoletime_DEU,N,SCHOOL
,,kouluvuosi,school year,skuvlajahki,skoleår,skolår,Schuljahr,N,SCHOOL
,,kovasti,kovasti_ENG,garrasit,stekt,stekt_SWE,stekt_DEU,Adv,DIV_ADV
,,kovasti,kovasti_ENG,sakka,meget,meget_SWE,meget_DEU,Adv,DIV_ADV
,,kristillinen,christian,kristtalaš,kristelig,kristlig,kristelig_DEU,A,CHRISTMAS
,,kristillinen,christian,risttalaš,kristelig,kristlig,kristelig_DEU,A,CHRISTMAS
,,kristinusko,Christianity,kristtalašvuohta,kristendom,kristendom,kristendom_DEU,N,SCHOOL
,,kuilu,kuilu_ENG,gorsa,kløft,klyfta,kløft_DEU,N,NATURE_PLACE
,,kuilu,kuilu_ENG,gurra,skar,skar,skar_DEU,N,NATURE_PLACE
,,kuitti,receipt,guite,kvittering,kvitto,kvittering_DEU,N,FINANCE
,,kuiva puu,kuiva puu_ENG,goikemuorra,tørr ved,turr ved,tørr ved_DEU,N,NATURE
,,kuivakala,dried fish,goikeguolli,tørrfisk,torrfisk,tørrfisk_DEU,N,FOOD_GROCERY
,,kuivaliha,dried meat,goikebiergu,tørkakjøtt,torkad kött,tørkakjøtt_DEU,N,FOOD_GROCERY
,,kuksa,kuksa_ENG,guksi,øse,ösa,øse_DEU,N,HANDICRAFTS
,,kuljeskella,migrate,jođašit,ferdes,färdas,reisen,V,TRAVEL_V
,,kulkea,wander,johtalit,ferdes kontinuerlig,resa omkring,wanderen,V,CITY
,,kulkeminen,kulkeminen_ENG,johtu,fart,fart_SWE,fart_DEU,N,TRAVEL
,,kulkuri,hobo,vánddardeaddji,vandrer,vandrare,vandrer_DEU,N,OTHERS
,,kulkutauti,kulkutauti_ENG,golgodávda,reksjuke,maginfluensa,reksjuke_DEU,N,ILLNESS
,,kulkuttaa,kulkuttaa_ENG,golgadit,fiske med drivgarn,fiske med drivgarn_SWE,fiske med drivgarn_DEU,V,NATURE_V
,,kulkuttaja,kulkuttaja_ENG,golgadeaddji,drivgarnsfisker,drivgarnsfisker_SWE,drivgarnsfisker_DEU,N,ACTOR
,,kultaseppä,goldsmith,gollečeahppi,gullsmed,gullsmed_SWE,gullsmed_DEU,N,PROFESSION
,,kulttuuritalo,kulttuuritalo_ENG,kulturviessu,kulturhus,kulturhus,kulturhus_DEU,N,CITY
,,kulua loppuun,end,nohkat,ta slutt,sluta,enden,V,EXPOSURE_V
,,kulua,get worn,gollat,brukes opp,förflyta,verstreichen,V,EXPOSURE_V
,,kuminauha,rubber band,gummebáddi,gummistrikk,gummiband,Gummiband,N,TOY
,,kummi,godmother,fáttar,fadder,gudfar,Taufpate,N,FAMILY
,,kummisetä,godfather,ristáhčči,gudfar,gudfar,Taufpate,N,FAMILY
,,kummitus,ghost,balddonas,spøkelse,spöke,Geist,N,MYTH_HUM
,,kummitus,ghost,gobmi,spøkelse,spöke,Geist,N,MYTH_HUM
,,kummitäti,godmother,risteadni,gudmor,gudmor,Taufpatin,N,FAMILY
,,kummivanhin,kummivanhin_ENG,risváhnen,gudforelder,gudforelder_SWE,gudforelder_DEU,N,FAMILY
,,kuningatar,queen,dronnet,dronning,drottning,Königin,N,OTHERS
,,kunnanjohtaja,kunnanjohtaja_ENG,ráđđealmmái,rådmann,kommunalråd,Stadtrat,N,PROFESSION
,,kunnanjohtaja,kunnanjohtaja_ENG,ráđđeolmmái,rådmann,kommunalråd,Stadtrat,N,PROFESSION
,,kunnantalo,kunnantalo_ENG,gieldaviessu,kommunehus,kommunhus,kommunehus_DEU,N,BUILDING
,,kunnantalo,kunnantalo_ENG,ráđđeviessu,rådhus,rådhus,rådhus_DEU,N,CITY
,,kunnanvaltuusto,kunnanvaltuusto_ENG,gielddastivra,kommunestyre,kommunstyrelse,kommunestyre_DEU,N,ORGANIZATION
,,kunnanvaltuusto,kunnanvaltuusto_ENG,suohkanstivra,kommunestyre,kommunstyrelse,kommunestyre_DEU,N,ORGANIZATION
,,kunnanvaltuuston puheenjohtaja,mayor,sátnejođiheaddji,ordfører,ordförare,Bürgermeister,N,PROFESSION
,,kunta,municipality,gielda,kommune,kommun,kommune_DEU,N,PLACE_STAYING
,,kuoppa,kuoppa_ENG,gohpi,grop,grop,grop_DEU,N,NATURE_PLACE
,,kuoppa,kuoppa_ENG,roggi,grop,grop_SWE,grop_DEU,N,NATURE
,,kuori,kuori_ENG,garra,skall,skal,skall_DEU,N,FOOD_OTHER
,,kuoro,choir,koarra,kor,kör,kor_DEU,N,OTHERS
,,kuppi,cup,kohppa,kopp,kopp,kopp_DEU,N,CONTAINER
,,kurjistaa,kurjistaa_ENG,goaridit,vanskjøtte,vanskjøtte_SWE,vanskjøtte_DEU,V,HUM_V
,,kurkata,peep,guovlat,kike,kike_SWE,kike_DEU,V,EXPERIENCE_V
,,kurkkutauti,kurkkutauti_ENG,čottabávččas,halsonde,halsont,halsonde_DEU,N,ILLNESS
,,kurssi,course,kursa,kurs,kurs,kurs_DEU,N,EDUCATION
,,kurssihuone,course room,gursalatnja,kursrom,kursrum,kursrom_DEU,N,ROOM
,,kurssihuone,course room,kursalatnja,kursrom,kursrum,kursrom_DEU,N,ROOM
,,kutoa,spawn,gođđat,gyte,leka,laichen,V,ANIMAL_V
,,kutojuusto,goat cheese,ruškesvuostá,brunost,mesost,brunost_DEU,N,FOOD_GROCERY
,,kuudes,sixth,guđát,sjette,sjätte,sechster,A,mORD
,,kuudestoista,sixteenth,guhttanuppelogát,sekstende,sextonde,sechzehnter,A,mORD
,,kuukausittain,kuukausittain_ENG,mánnosaččat,månedlig,månadsvis,månedlig_DEU,Adv,TIME_ADV
,,kuulua,be heard,gullot,høres,höras,gehört werden,V,EXPOSURE_V
,,kuuma,hot,báhkas,het,het,het_DEU,A,SOUP_A
,,kuusi henkilöä,six persons,guđas,seks personer,sex personer,sechs personen,N,mCOLL
,,kuutamo,moonshine,mánoheahpi,måneskinn,månsken,måneskinn_DEU,N,WEATHER
,,kuutio,cube,bircu,terning,tärning,terning_DEU,N,THING
,,kuutonen,kuutonen_ENG,guđeš,sekser,sexa,sekser_DEU,N,LANGUAGEPART
,,kuvalehti,illustrated magazine,govvabláđđi,bildeblad,bildeblad_SWE,bildeblad_DEU,N,TEXT
,,kuvata,describe,válddahit,beskrive,beskriva,beschreiben,V,HUM_V
,,kveeni,Kven,kvena,kven,kven_SWE,kven_DEU,N,OTHERS
,,kyetä,kyetä_ENG,nagadit,greie,greie_SWE,greie_DEU,V,HUM_V
,,kylläinen,kylläinen_ENG,gallás,mett,mätt,mett_DEU,A,CHRISTMAS
,,kyllästyä,get bored,dolkat,bli lei,ledsna,traurig werden,V,EXPERIENCE_V
,,kyllästyä,get bored,čalmmástuvvat,bli lei,bli ledsen,traurig werden,V,EXPERIENCE_V
,,kylmyys,cold,buolaš,kulde,kyla,kulde_DEU,N,WEATHER
,,kylmä,cold,galmmas,kald,kall,kald_DEU,A,WEATHER_A
,,kylpyamme,bath tube,lávgungárri,badekar,badkar,badekar_DEU,N,ROOMPART
,,kylpyhuone,bathroom,lávgunlatnja,baderom,badrum,baderom_DEU,N,ROOM
,,kylpylä,bath,lávggohat,badeanstalt,bad_SWE,bad_DEU,N,ROOM
,,kylvetellä,bath,lávggodit,bade,bada,bade_DEU,V,HUM_V
,,kylvettää,bath,lávgut,bade,bada,bade_DEU,V,HUM_V
,,kyläseura,kyläseura_ENG,gilisearvi,bygdelag,byaförening,bygdelag_DEU,N,ORGANIZATION
,,kymmenen henkilöä,ten persons,logis,ti personer,tio personer,zehn personen,N,mCOLL
,,kymmenes,tenth,logát,tiende,tionde,zehnte,A,mORD
,,kymppi,kymppi_ENG,logeš,tier,tia,tier_DEU,N,LANGUAGEPART
,,kypsyä,to,giksat,bli ferdigkokt,bli genomkokt,gar werden,V,exclude_smenob
,,kysellä,ask,jearralit,spørre som snarest,ställa en fråga,eine Frage stellen,V,exclude_smenob
,,kysellä,interview,jearahit,intervjue,intervjue_SWE,intervjue_DEU,V,VERBAL_V
,,kysymys,question,jearaldat,spørsmål,fråga,Frage,N,LANGUAGEPART
,,kysymyssana,wh-word,jearransátni,spørreord,frågeord,spørreord_DEU,N,LANGUAGEPART
,,kyyti,kyyti_ENG,gikta,skyss,skyss,skyss_DEU,N,TRAVEL
,,kyyti,kyyti_ENG,sáhttu,skyss,skjuts,skyss_DEU,N,TRAVEL
,,kärki,end,geahči,ende,slut,ende_DEU,N,ABSTRACT
,,kärsivällinen,patient,gierdavaš,tålmodig,tålmodig,tålmodig_DEU,A,CHRISTMAS
,,käräjä,käräjä_ENG,gearret,retten,retten_SWE,retten_DEU,N,ORGANIZATION
,,käsikynkkä,käsikynkkä_ENG,giehtagávva,albueleddkrøkning,albueleddkrøkning_SWE,albueleddkrøkning_DEU,N,BODYPART
,,käsilaukku,käsilaukku_ENG,giehtalávka,handveske,handväska,handveske_DEU,N,CONTAINER
,,käsipallo,handball,giehtaspábba,håndball,handboll,håndball_DEU,N,SPORT
,,käsite,concept,doaba,begrep,begrep_SWE,begrep_DEU,N,LANGUAGEPART
,,käsitellä,treat,gieđahallat,bearbeide,bearbeta,bearbeiten,V,WORK_ECONOMY_V
,,käsityö,käsityö_ENG,duodji,husflid,slöjd,husflid_DEU,N,JOB
,,käsityöhuone,käsityöhuone_ENG,duodjelatnja,sløydrom,slöjdrum,sløydrom_DEU,N,SCHOOL
,,käsityökirja,käsityökirja_ENG,duodjegirji,håndarbeidsbok,handarbetsbok,håndarbeidsbok_DEU,N,TEXT
,,käsityöliike,käsityöliike_ENG,duodjegávpi,håndarbeidsbutikk,slöjdbutik,håndarbeidsbutikk_DEU,N,SHOP
,,käsityöläinen,käsityöläinen_ENG,duojár,duodjiutøver,slöjdare,duodjiutøver_DEU,N,PROFESSION
,,käsityönäyttely,käsityönäyttely_ENG,duodječájáhus,duodjiutstilling,slöjdutställning,duodjiutstilling_DEU,N,SHOW
,,kävelytie,kävelytie_ENG,vázzingeaidnu,gangvei,gångväg,gangvei_DEU,N,ROAD
,,käydä jumalanpalveluksessa,attend a service,girkostallat,delta i gudstjeneste,bevista gudstjänsten,den Gottesdienst besuchen,V,CHRISTMAS
,,käydä kauppaa,shop,gávppašit,handle,handla,einkaufen,V,CITY
,,käydä,visit,fitnat,dra innom,besöka,besuchen,V,CITY
,,käymättä,käymättä_ENG,finakeahttá,uten å komme innom,uten å komme innom_SWE,uten å komme innom_DEU,Adv,DIV_ADV
,,käyttäytyä,behave,láhttet,oppføre seg,oppføre seg_SWE,oppføre seg_DEU,V,HUM_V
,,kääntyä,turn,jorggihit,snu,vända sig,drehen,V,ACTION_V
,,kömpelö,clumsy,čuorbi,klosset,klantig,klosset_DEU,A,HUM_A
,,kömpiä,creep,čákŋat,krype,krype_SWE,krype_DEU,V,BODY_V
,,laajalti,laajalti_ENG,viidát,vidt,vidt_SWE,vidt_DEU,Adv,DIV_ADV
,,laakso,valley,vággi,dal,dal,dal_DEU,N,NATURE_PLACE
,,laatia,laatia_ENG,ordnet,ordne,ordna,ordne_DEU,V,WORK_ECONOMY_V
,,laatikko,laatikko_ENG,gássa,kasse,kasse,kasse_DEU,N,CONTAINER
,,laatikko,laatikko_ENG,kássa,kasse,kasse,kasse_DEU,N,CONTAINER
,,laavu,laavu_ENG,lávvu,lavvo,lavvo,lavvo_DEU,N,BUILDING
,,laavukangas,laavukangas_ENG,loavdda,lavvoduk,tältduk,lavvoduk_DEU,N,YYY
,,lahti,bay,luokta,bukt,bukt,Bucht,N,NATURE_WATER
,,laidun,laidun_ENG,guohtun,beite,bete,beite_DEU,N,NATURE
,,laiha,slim,ruoinnas,mager,mager,mager_DEU,A,HUM_A
,,laihuus,laihuus_ENG,ruoinnasvuohta,magerhet,magerhet_SWE,magerhet_DEU,N,BODY_OTHER
,,lainata,borrow,luoikkahit,låne,få till låns,entleihen,V,HUM_V
,,laiton,illegal,lobiheapme,ulovlig,olaglig,ulovlig_DEU,A,OTHERS
,,laitos,institution,ásahus,institusjon,institution,institusjon_DEU,N,ORGANIZATION
,,laittaa riippumaan,hang,sorjalit,henge,hänga,hängen,V,EXPOSURE_V
,,lakata,stop,heaitit,slutte,sluta,aufhören,V,ACTION_V
,,lakka,cloadberry,láttat,molte,hjortron,molte_DEU,N,PLANT
,,lakki,myssy_ENG,gahpir,lue,mössa,lue_DEU,N,CLOTHING
,,lampaanhoito,lampaanhoito_ENG,sávzadoallu,sauehold,fårskötsel,sauehold_DEU,N,JOB
,,lampi,lampi_ENG,láttu,vanndam,tjärn,vanndam_DEU,N,NATURE_WATER
,,lamppu,lamp,lámpá,lampe,lampa,lampe_DEU,N,FURNITURE
,,lanka,lanka_ENG,láigi,garn,garn,garn_DEU,N,HANDICRAFTS
,,lapinpuku,lapinpuku_ENG,gákti,kofte,kolt,kofte_DEU,N,CLOTHING
,,lapinpukuinen ihminen,lapinpukuinen ihminen_ENG,gávttehas,koftekledd person,koltklädd person,koftekledd person_DEU,N,OTHERS
,,lapseton,childless,mánáheapme,barnløs,barnlös,barnløs_DEU,A,HUM_A
,,lasi,glass,lássa,glass,glas,glass_DEU,N,CONTAINER
,,laskea,laskea_ENG,luoitit,slippe,slippe_SWE,slippe_DEU,V,ACTION_V
,,laskea,slide,čierastit,renne,glida,schlittern,V,NATURE_V
,,lasketella,slide,čierastallat,ake,åka utför,rodeln,V,NATURE_V
,,laskettelumäki,laskettelumäki_ENG,čierastallanluohkká,akebakke,åkbacka,akebakke_DEU,N,SPORT
,,laskeutua,descend,njiedjat,gå ned,gå ned,herabsteigen,V,ACTION_V
,,lastentunti,lastentunti_ENG,mánáidboddu,barnetime,barntimme,barnetime_DEU,N,SHOW
,,lastenvahti,babysitter,mánnabiigá,barnevakt,barnvakt,barnevakt_DEU,N,PROFESSION
,,lastenvahti,babysitter,mánnageahčči,barnevakt,barnvakt,barnevakt_DEU,N,PROFESSION
,,latkittava,dog food,čuogus,hundemat,hundemat_SWE,hundemat_DEU,N,ANIMAL_OTHER
,,lattia,floor,láhtti,golv,golv,golv_DEU,N,ROOMPART
,,latu,latu_ENG,láhttu,løype,led,løype_DEU,N,ROAD
,,lauantai,saturday,lávvordat,lørdag,lördag,Samstag,N,TIME_POINT_GEN
,,laulaa hieman,sing a little,lávlestit,synge litt,sjunga lite grann,ein bisschen singen,V,SCHOOL_V
,,laulaa,sing,lávlut,synge,sjunga,singen,V,CHRISTMAS
,,lausua,say,cealkit,si,uttala,aussprechen,V,VERBAL_V
,,lautanen,plate,tallearka,tallerken,tallrik,tallerken_DEU,N,KITCHEN
,,lavuaari,lavuaari_ENG,basadangárri,vaskeservant,handfat,vaskeservant_DEU,N,ROOMPART
,,lavuaari,lavuaari_ENG,bassangárri,vaskeservant,tvättsink,vaskeservant_DEU,N,ROOMPART
,,lavuaari,sink,bassanálddis,vaskeservant,tvättsink,vaskeservant_DEU,N,ROOMPART
,,lehtikota,lehtikota_ENG,lastagoahti,løvløe,lövkåta,løvløe_DEU,N,BUILDING
,,lehto,lehto_ENG,rohtu,krattskog,krattskog_SWE,krattskog_DEU,N,NATURE_PLACE
,,leikkikaveri,playmate,duhkoraddanskibir,lekekamerat,lekekamerat_SWE,lekekamerat_DEU,N,OTHERS
,,leikkiteline,leikkiteline_ENG,stoahkanapparáhtta,lekeapparat,lekapparat,lekeapparat_DEU,N,TOY
,,leikkiä,play,stoahkat,leke,leka,spielen,V,HUM_V
,,leipoa kakkua,bake a cake,gáhkket,bake kake,baka kaka,bake kake_DEU,V,FOOD_DRINK_V
,,leipomo,bakery,láibbohat,bakeri,bageri,bakeri_DEU,N,CITY
,,leirintäalue,leirintäalue_ENG,gohttensadji,campingplass,campingplats,campingplass_DEU,N,PLACE_STAYING
,,leivos,cookie,gohttá,småkake,småkake_SWE,småkake_DEU,N,FOOD_OTHER
,,lemmikkieläin,pet,biebmoealli,kjæledyr,husdjur,kjæledyr_DEU,N,ANIMAL_OTHER
,,lempeä,mild,láđis,mild,mild,mild_DEU,A,HUM_A
,,lenkkikenkä,lenkkikenkä_ENG,joggeskuovva,joggesko,joggingsko,joggesko_DEU,N,CLOTHING_PL
,,lepattaa,lepattaa_ENG,libardit,flagre,flagre_SWE,flagre_DEU,V,YYY
,,leuka,leuka_ENG,gáibi,hake,hake,hake_DEU,N,BODYPART
,,leveä,broad,govdat,bred,bred,bred_DEU,A,NATURE_A
,,levitellä,levitellä_ENG,leabbut,utbre,utbre_SWE,utbre_DEU,V,EXPOSURE_V
,,levittää,spread,lebbet,bre ut,bre ut_SWE,bre ut_DEU,V,ACTION_V
,,levitä,spread,leavvat,bre seg,bre seg_SWE,bre seg_DEU,V,EXPOSURE_V
,,levoton,levoton_ENG,mášoheapme,urolig,orolig,urolig_DEU,A,ANIMAL_A
,,levy,plate,pláhtta,plate,plate_SWE,plate_DEU,N,YYY
,,levy,plate,skearru,plate,skiva,plate_DEU,N,SOUND
,,levykauppa,record shop,skearrogávpi,platebutikk,skivaffär,platebutikk_DEU,N,SHOP
,,levä,levä_ENG,deappu,tang,tang,tang_DEU,N,PLANT
,,levä,levä_ENG,dárra,tare,kelp,tare_DEU,N,PLANT
,,liemi,liemi_ENG,liepma,buljong,buljong,buljong_DEU,N,FOOD_OTHER
,,lihakeitto,meat soup,biergomális,kjøttsuppe,köttsoppa,kjøttsuppe_DEU,N,FOOD_DISH
,,lihakeitto,meat soup,biergomálli,kjøttsuppe,köttsoppa,kjøttsuppe_DEU,N,FOOD_DISH
,,lihakeitto,meat soup,biđus,bidus,bidus,bidus_DEU,N,FOOD_DISH
,,lihaksikas,lihaksikas_ENG,deahkkái,muskuløs,muskulös,muskuløs_DEU,A,BODY_A
,,lihapata,lihapata_ENG,biergogievdni,kjøttgryte,köttgryta,kjøttgryte_DEU,N,KITCHEN
,,lihavaja,lihavaja_ENG,biergoskadjá,kjøttskjå,kjøttskjå_SWE,kjøttskjå_DEU,N,BUILDING
,,lihavoileipä,meat sandwich,biergoláibi,smørbrød med kjøtt,smörgås med kött,smørbrød med kjøtt_DEU,N,FOOD_DISH
,,lihavuus,lihavuus_ENG,buoidivuohta,fedme,fedme_SWE,fedme_DEU,N,BODY_OTHER
,,liian,liian_ENG,beare,altfor,alltför,altfor_DEU,Adv,DIV_ADV
,,liikennevalo,traffic light,johtolatčuovga,trafikklys,trafikljus,trafikklys_DEU,N,CITY
,,liina,liina_ENG,liidni,tørkle,halsduk,tørkle_DEU,N,CLOTHING
,,limsa,limonade,bruvsa,brus,sockerdricka,brus_DEU,N,DRINK
,,linnunvarvas,linnunvarvas_ENG,lottegazza,fugleklo,fugleklo_SWE,fugleklo_DEU,N,ANIMAL_OTHER
,,lippalakki,lippalakki_ENG,gaibagahpir,skyggelue,skärmmössa,skyggelue_DEU,N,CLOTHING
,,lippu,lippu_ENG,lihppu,merkelapp,lapp,merkelapp_DEU,N,TEXT
,,lipputanko,flag pole,leavgastággu,flaggstang,flaggstång,flaggstang_DEU,N,CONSTRUCTION
,,lisää,lisää_ENG,lasi,ytterligere,ytterligere_SWE,ytterligere_DEU,Adv,DIV_ADV
,,litteänaamainen,litteänaamainen_ENG,duorššas,ansiktsbred,med brett ansikte,ansiktsbred_DEU,A,BODY_A
,,lohduttaa,comfort,jeđđet,trøste,trøste_SWE,trøste_DEU,V,VERBAL_V
,,lohikalastus,salmon fishing,luossabivdu,laksefiske,laxfiske,laksefiske_DEU,N,JOB
,,lohipala,lohipala_ENG,luossabihttá,laksestykke,laxbit,laksestykke_DEU,N,FOOD_GROCERY
,,lohivoileipä,salmon sandwich,luossaláibi,laksesmørbrød,laxsmörgås,laksesmørbrød_DEU,N,FOOD_DISH
,,loito,loito_ENG,loaidu,soveplass i telt,sovplats i tält,soveplass i telt_DEU,N,exclude_smenob
,,lomapäivä,lomapäivä_ENG,luopmobeaivi,feriedag,semesterdag,feriedag_DEU,N,TIME_OTHER
,,lomittaja,lomittaja_ENG,návetvázzi,fjøsrøkter,lantbruksvikarie,fjøsrøkter_DEU,N,PROFESSION
,,lompakko,wallet,bursa,pengepung,plånbok,pengepung_DEU,N,THING
,,lompolo,lompolo_ENG,luoppal,innsjø mellom to elver,insjö mellan två älvar,innsjø mellom to elver_DEU,N,NATURE_WATER
,,lopuksi,lopuksi_ENG,loahpas,til sist,till slut,til sist_DEU,Adv,CHRISTMAS
,,lopullisesti,lopullisesti_ENG,loahpalaččat,endelig,endelig_SWE,endelig_DEU,Adv,DIV_ADV
,,loru,riddle,hoahkan,regle,rämsa,regle_DEU,N,TEXT
,,luistella,skate,luistet,gå på skøyter,åka skridskor,gå på skøyter_DEU,V,NATURE_V
,,luja,solid,nanus,solid,solid,solid_DEU,A,OBJECT_A
,,lukea,read a long time,logadit,lese lenge,läsa länge,lange lesen,V,SCHOOL_V
,,lukematta,without reading,logakeahttá,uten å lese,utan att läsa,uten å lese_DEU,Adv,SCHOOL_ADV
,,lukio,lukio_ENG,joatkkaskuvla,videregående skole,gymnasieskola,videregående skole_DEU,N,CITY
,,lukkari,lukkari_ENG,luhkkár,klokker,klockare,klokker_DEU,N,PROFESSION
,,lukujärjestys,curriculum,lohkanortnet,timeplan,timeplan_SWE,timeplan_DEU,N,SCHOOL
,,lukukappale,lukukappale_ENG,lohkanbihttá,lesestykke,lässtycka,lesestykke_DEU,N,SCHOOL
,,lumikelkka,lumikelkka_ENG,mohtorgielká,skuter,scooter,skuter_DEU,N,VEHICLE
,,lumikelkka,scooter,skohter,skuter,scooter,skuter_DEU,N,VEHICLE
,,lumilauta,lumilauta_ENG,čieran,akebrett,kälke,akebrett_DEU,N,TOY
,,lumipenkka,lumipenkka_ENG,guoldu,kaldsno,snöstorm,kaldsno_DEU,N,WEATHER
,,lumipyry,snow storm,borga,snøfokk,snöstorm,snøfokk_DEU,N,WEATHER
,,lumipyry,snow weather,muohtti,snøvær,snöväder,snøvær_DEU,N,WEATHER
,,luokka,class,luohkká,klasse,klass,klasse_DEU,N,NATURE_PLACE
,,luokkahuone,classroom,luohkkálatnja,klasserom,klassrum,klasserom_DEU,N,SCHOOL
,,luokkahuone,classroom,skuvlalatnja,klasserom,klassrum,klasserom_DEU,N,SCHOOL
,,luonnonpuisto,nature reservate,luonddumeahcci,naturreservat,naturreservat_SWE,naturreservat_DEU,N,NATURE
,,luottamusmies,luottamusmies_ENG,luohttámušalmmái,tillitsmann,tillitsmann_SWE,tillitsmann_DEU,N,OTHERS
,,luottokortti,credit card,kredihttakoarta,kredittkort,kredittkort_SWE,kredittkort_DEU,N,FINANCE
,,luukäsityö,luukäsityö_ENG,čoarveduodji,hornsløyd,hornslöjd,hornsløyd_DEU,N,JOB
,,luulajansaame,Lule Sámi,julevsámegiella,lulesamisk språk,lulesamiska,Lulesamisch,N,LANGUAGE
,,luulajansaame,Lule Sámi,julevsápmi,lulesame,lulesame,lulesame_DEU,N,OTHERS
,,luulajansaamelainen,Lule Sámi,julevsápmelaš,lulesame,lulesame,lulesame_DEU,N,OTHERS
,,luupuukko,luupuukko_ENG,čoarveniibi,hornkniv,hornkniv,hornkniv_DEU,N,HANDICRAFTS
,,lyijykynä,pencil,bliánta,blyant,blyerts,blyant_DEU,N,SCHOOL
,,lähes,lähes_ENG,goasii,nesten,nesten_SWE,nesten_DEU,Adv,DIV_ADV
